﻿Vessel Name,Port Call Type,Port Type,Current Port,Ata/atd,Time At Port,Destination Port,Voyage Origin Port,Voyage Time Underway,Voyage Distance Travelled,Leg Start Port/anch,Leg Time Underway,Leg Distance Travelled,Load Condition,In Transit Port Calls,My Fleets
ASIA VISION,ARRIVAL,Port,PASIR GUDANG,2019-06-12 06:13:00,-,,SENDAI,12d 1h 3m,1748,SINGAPORE ANCH,1h 26m,13,In Ballast,In Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,SINGAPORE ANCH,2019-06-11 10:44:00,-,,SENDAI,11d 5h 34m,1733,SINGAPORE ANCH,4h 18m,48,In Ballast,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-06-11 00:07:00,-,,ASHBURTON,7d 16h 32m,4114,ASHBURTON,7d 16h 32m,4114,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-06-09 01:14:00,-,,ASHBURTON,15d 5h 8m,5242,ASHBURTON,15d 5h 8m,5242,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,SINGAPORE ANCH,2019-06-08 10:45:00,-,,SENDAI,8d 5h 35m,1684,SENDAI,8d 5h 35m,1684,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,NAGOYA,2019-06-05 01:25:00,-,,DAMPIER,11d 19h 46m,4530,DAMPIER ANCH,11d 15h 1m,4502,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,BORYEONG,2019-06-04 00:26:00,-,,ASHBURTON,11d 16h 29m,4426,ASHBURTON,11d 16h 29m,4426,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,ASHBURTON,2019-06-02 08:58:00,-,,YOKKAICHI,9d 7h 4m,3847,YOKKAICHI,9d 7h 4m,3847,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Anchorage,SINGAPORE ANCH,2019-05-30 02:21:00,-,,YANGKOU,10d 20h 33m,3076,YANGKOU,10d 20h 33m,3076,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,SENDAI,2019-05-29 22:53:00,-,,ASHBURTON,13d 16h 54m,4886,DAMPIER ANCH,9d 12h 10m,3918,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2019-05-24 08:21:00,-,,DAMPIER,2h 42m,25,DAMPIER,2h 42m,25,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,ASHBURTON,2019-05-23 18:42:00,-,,ASHBURTON,51m,8261,ASHBURTON,51m,8261,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,ASHBURTON,2019-05-23 10:44:00,-,,CAOFEIDIAN,23d 9h 9m,4944,SINGAPORE ANCH,9d 4h 45m,1950,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,DAMPIER,2019-05-23 03:11:00,-,,YUNG AN,9d 3h 23m,3292,YUNG AN,9d 3h 23m,3292,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,YOKKAICHI,2019-05-23 01:22:00,-,,BARROW ANCH,8d 23h 29m,3690,BARROW ANCH,8d 23h 29m,3690,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,ASHBURTON,2019-05-22 08:48:00,-,,YUNG AN,11d 8h 4m,3455,DAMPIER ANCH,1d 12m,258,In Ballast,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DAMPIER ANCH,2019-05-20 03:05:00,-,,ASHBURTON,3d 21h 6m,963,ASHBURTON,3d 21h 6m,963,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-05-20 01:25:00,-,,YUNG AN,9d 41m,3195,YUNG AN,9d 41m,3195,In Ballast,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,YANGKOU,2019-05-18 03:33:00,-,,ASHBURTON,14d 19h 13m,4378,KAOHSIUNG ANCH,3d 20h 28m,1074,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,ASHBURTON,2019-05-15 05:53:00,-,,YANGKOU,44d 2h 22m,8183,DAMPIER ANCH,20h 54m,234,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,YUNG AN,2019-05-12 23:38:00,-,,ASHBURTON,13d 15h 16m,4404,HSINTA ANCH,1m,0,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,BARROW ANCH,2019-05-12 08:49:00,-,,BARROW ISLAND,1h 29m,74,BARROW ISLAND,1h 29m,74,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-05-12 00:02:00,-,,ASHBURTON,8d 15h 42m,3302,ASHBURTON,8d 15h 42m,3302,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DAMPIER ANCH,2019-05-11 07:28:00,-,,ASHBURTON,25d 3h 28m,7945,KAOHSIUNG ANCH,10d 3h 52m,3110,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,BARROW ISLAND,2019-05-11 05:10:00,-,,KOCHI,13d 23h 8m,3819,DAMPIER ANCH,20h 24m,218,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,SINGAPORE ANCH,2019-05-10 11:15:00,-,,CAOFEIDIAN,10d 9h 40m,2992,CAOFEIDIAN,10d 9h 40m,2992,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,YUNG AN,2019-05-09 23:41:00,-,,ASHBURTON,12d 20h 35m,3740,KAOHSIUNG ANCH,1h 49m,14,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,HSINTA ANCH,2019-05-09 06:54:00,-,,ASHBURTON,9d 22h 32m,4402,ASHBURTON,9d 22h 32m,4402,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-05-07 02:50:00,-,,ASHBURTON,9d 23h 44m,3724,ASHBURTON,9d 23h 44m,3724,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,DAMPIER ANCH,2019-05-06 01:44:00,-,,KOCHI,8d 19h 42m,3596,KOCHI,8d 19h 42m,3596,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,ASHBURTON,2019-05-02 09:02:00,-,,DAHEJ,12d 20h 8m,4153,DAHEJ,12d 20h 8m,4153,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-04-29 02:47:00,-,,ASHBURTON,12d 22h 47m,4833,ASHBURTON,12d 22h 47m,4833,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,ASHBURTON,2019-04-28 08:44:00,-,,YUNG AN,37d 9h 2m,9740,DAMPIER ANCH,23h 55m,309,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,CAOFEIDIAN,2019-04-28 07:41:00,-,,BARROW ISLAND,10d 2h 15m,4010,BARROW ISLAND,10d 2h 15m,4010,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2019-04-27 01:29:00,-,,ASHBURTON,26d 16h 54m,9415,ASHBURTON,26d 16h 54m,9415,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,KOCHI,2019-04-26 03:59:00,-,,BARROW ISLAND,15d 15h 55m,3379,BARROW ISLAND,15d 15h 55m,3379,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,ASHBURTON,2019-04-26 01:59:00,-,,BARROW ISLAND,25d 22h 20m,8252,DAMPIER ANCH,19h 3m,231,In Ballast,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-04-23 02:23:00,-,,BARROW ISLAND,22d 22h 44m,8016,KAOHSIUNG ANCH,7d 17h 45m,3006,In Ballast,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,DAHEJ,2019-04-18 02:41:00,-,,ASHBURTON,15d 44m,4159,ASHBURTON,15d 44m,4159,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,BARROW ISLAND,2019-04-16 15:01:00,-,,OITA,20d 12h 13m,3711,DAMPIER ANCH,6h 23m,67,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,ASHBURTON,2019-04-15 04:09:00,-,,YANGKOU,14d 38m,4037,DAMPIER ANCH,1d 10m,231,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-04-15 04:02:00,-,,BARROW ISLAND,15d 23m,5009,BARROW ISLAND,15d 23m,5009,In Ballast,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DAMPIER ANCH,2019-04-11 23:51:00,-,,YANGKOU,10d 20h 20m,3792,KAOHSIUNG ANCH,7d 17h 8m,2916,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-04-10 08:52:00,-,,OITA,14d 6h 4m,3642,OITA,14d 6h 4m,3642,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,BARROW ISLAND,2019-04-09 09:05:00,-,,KISARAZU,10d 7h 26m,3777,KISARAZU,10d 7h 26m,3777,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-04-03 23:23:00,-,,YANGKOU,2d 19h 52m,874,YANGKOU,2d 19h 52m,874,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,ASHBURTON,2019-04-02 02:09:00,-,,KISARAZU,13d 23h 21m,3943,DAMPIER ANCH,20h 20m,150,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,YANGKOU,2019-03-31 01:34:00,-,,BARROW ISLAND,20d 3h 38m,3640,BARROW ISLAND,20d 3h 38m,3640,Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Anchorage,DAMPIER ANCH,2019-03-31 01:18:00,-,,KISARAZU,11d 22h 30m,3790,KISARAZU,11d 22h 30m,3790,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,ASHBURTON,2019-03-30 09:14:00,-,,YUNG AN,8d 9h 32m,3299,YUNG AN,8d 9h 32m,3299,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,BARROW ISLAND,2019-03-29 23:09:00,-,,HACHINOHE,13d 17h 58m,7691,DAMPIER ANCH,14h 44m,180,In Ballast,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,KISARAZU,2019-03-29 00:38:00,-,,ASHBURTON,16d 14h 59m,5379,KAOHSIUNG ANCH,6d 22h 43m,2014,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-03-27 01:04:00,-,,HACHINOHE,10d 19h 53m,7509,HACHINOHE,10d 19h 53m,7509,In Ballast,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,OITA,2019-03-26 00:41:00,-,,DAMPIER,12d 12h 47m,4264,DAMPIER,12d 12h 47m,4264,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-03-21 02:02:00,-,,ASHBURTON,8d 16h 23m,3362,ASHBURTON,8d 16h 23m,3362,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,YUNG AN,2019-03-21 00:01:00,-,,ASHBURTON,14d 23h 10m,5566,ASHBURTON,14d 23h 10m,5566,Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,KISARAZU,2019-03-18 01:04:00,-,,BONTANG,11d 10h 27m,3341,BONTANG,11d 10h 27m,3341,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,HACHINOHE,2019-03-15 01:10:00,-,,HACHINOHE,1d 23h 10m,3933,HACHINOHE,1d 23h 10m,3933,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,DAMPIER,2019-03-12 07:33:00,-,,KISARAZU,12d 4h 23m,3740,DAMPIER ANCH,4m,0,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,HACHINOHE,2019-03-12 01:16:00,-,,BARROW ISLAND,12d 7h 53m,4398,DAMPIER ANCH,11d 21h 27m,4329,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,ASHBURTON,2019-03-11 01:12:00,-,,DAHEJ,22d 16h 33m,3821,DAMPIER ANCH,23h 33m,250,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-03-10 05:41:00,-,,KISARAZU,10d 2h 31m,3704,KISARAZU,10d 2h 31m,3704,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,BARROW ISLAND,2019-03-09 06:42:00,-,,KISARAZU,54d 6h 17m,6997,DAMPIER ANCH,21h 56m,121,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,DAMPIER ANCH,2019-03-07 07:06:00,-,,DAHEJ,18d 22h 27m,3566,DAHEJ,18d 22h 27m,3566,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,ASHBURTON,2019-03-05 01:03:00,-,,KAWASAKI,12d 23h 55m,4091,DAMPIER ANCH,22h 58m,302,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,BONTANG,2019-03-04 17:06:00,-,,PYEONGTAEK,47d 16h 15m,5248,DAMPIER ANCH,5d 14h 6m,1384,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2019-03-02 02:00:00,-,,KAWASAKI,10d 52m,3777,KAWASAKI ANCH,10d 35m,3776,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-02-28 02:23:00,-,,BARROW ISLAND,9h ,66,BARROW ISLAND,9h ,66,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DAMPIER ANCH,2019-02-27 08:16:00,-,,BARROW ISLAND,29d 11h 46m,6872,DAMPIER ANCH,27d 23h 46m,6726,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,KISARAZU,2019-02-27 03:28:00,-,,KISARAZU,17m,2,KISARAZU,17m,2,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,KISARAZU,2019-02-27 03:02:00,-,,KISARAZU,21m,2,KISARAZU,21m,2,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,KISARAZU,2019-02-27 02:29:00,-,,ASHBURTON,13d 15h 19m,3365,DAMPIER ANCH,12d 16h 52m,3124,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,BARROW ISLAND,2019-02-26 06:45:00,-,,KISARAZU,29d 3h 52m,3885,DAMPIER ANCH,7h 40m,59,In Ballast,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,KAWASAKI ANCH,2019-02-20 01:09:00,-,,KAWASAKI,1m,1,KAWASAKI,1m,1,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,KAWASAKI,2019-02-19 01:00:00,-,,ASHBURTON,15d 8m,4001,DAMPIER ANCH,8d 18h 44m,3717,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,DAHEJ,2019-02-14 23:32:00,-,,ASHBURTON,25d 1h 48m,8409,KAOHSIUNG ANCH,13d 15h 22m,5238,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-02-14 03:34:00,-,,ASHBURTON,16h 24m,239,ASHBURTON,16h 24m,239,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,ASHBURTON,2019-02-12 00:52:00,-,,INCHEON,25d 19h 49m,4470,DAMPIER ANCH,15h 40m,156,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-02-08 06:15:00,-,,KISARAZU,11d 3h 22m,3825,KISARAZU,11d 3h 22m,3825,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2019-02-07 04:41:00,-,,ASHBURTON,3d 3h 49m,280,DAMPIER ANCH,1h 6m,0,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2019-02-05 01:05:00,-,,ASHBURTON,1d 13m,280,ASHBURTON,1d 13m,280,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,ASHBURTON,2019-02-03 00:58:00,-,,GWANGYANG,18d 22h 2m,5019,DAMPIER ANCH,2d 16h 45m,735,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Anchorage,DAMPIER ANCH,2019-02-01 00:01:00,-,,PYEONGTAEK,15d 23h 10m,3862,PYEONGTAEK,15d 23h 10m,3862,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2019-01-31 02:49:00,-,,ASHBURTON,10d 5h 5m,3169,ASHBURTON,10d 5h 5m,3169,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DAMPIER ANCH,2019-01-29 03:10:00,-,,BARROW ISLAND,6h 40m,136,BARROW ISLAND,6h 40m,136,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-01-29 02:36:00,-,,INCHEON,11d 21h 33m,4312,INCHEON,11d 21h 33m,4312,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2019-01-28 01:27:00,-,,GWANGYANG,12d 22h 31m,4282,GWANGYANG,12d 22h 31m,4282,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,BARROW ISLAND,2019-01-27 17:21:00,-,,KISARAZU,13d 16h 56m,4341,KISARAZU,13d 16h 56m,4341,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,KISARAZU,2019-01-27 00:44:00,-,,ASHBURTON,10d 14h 7m,4374,ASHBURTON,10d 14h 7m,4374,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,ASHBURTON,2019-01-20 15:53:00,-,,ASHBURTON,16h 31m,46,ASHBURTON,16h 31m,46,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,ASHBURTON,2019-01-19 22:57:00,-,,KAWASAKI,19d 21h 55m,3938,DAMPIER ANCH,1d 16h 22m,292,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,INCHEON,2019-01-19 00:05:00,-,,INCHEON,1d 19h 2m,739,INCHEON,1d 19h 2m,739,Partially Laden,In Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,INCHEON,2019-01-18 13:01:00,-,,INCHEON,1d 7h 58m,541,INCHEON,1d 7h 58m,541,Partially Laden,In Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,INCHEON,2019-01-18 03:51:00,-,,INCHEON,22h 48m,383,INCHEON,22h 48m,383,Partially Laden,In Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,INCHEON,2019-01-17 16:01:00,-,,INCHEON,10h 58m,187,INCHEON,10h 58m,187,Partially Laden,In Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,INCHEON,2019-01-17 14:49:00,-,,INCHEON,9h 46m,166,INCHEON,9h 46m,166,Partially Laden,In Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,INCHEON,2019-01-16 05:24:00,-,,ASHBURTON,8d 15h 57m,3758,ASHBURTON,8d 15h 57m,3758,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,ASHBURTON,2019-01-15 01:06:00,-,,ANJEONG,22d 22h 57m,4136,DAMPIER ANCH,23h 36m,237,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,PYEONGTAEK,2019-01-14 23:28:00,-,,DAMPIER,10d 17h 56m,4291,DAMPIER,10d 17h 56m,4291,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,DAMPIER ANCH,2019-01-14 10:15:00,-,,KAWASAKI,14d 9h 13m,3644,KAWASAKI,14d 9h 13m,3644,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,GWANGYANG,2019-01-14 00:38:00,-,,BARROW ISLAND,8d 11h 57m,3646,BARROW ISLAND,8d 11h 57m,3646,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,KISARAZU,2019-01-13 00:40:00,-,,ASHBURTON,15d 23h 47m,3975,DAMPIER ANCH,13d 20h 12m,3723,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,ASHBURTON,2019-01-06 01:00:00,-,,BORYEONG,18d 20h 36m,4773,DAMPIER ANCH,16h 17m,171,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,BARROW ISLAND,2019-01-04 07:20:00,-,,INCHEON,15d 5h 18m,4131,DAMPIER ANCH,23h 15m,315,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-01-03 08:53:00,-,,ANJEONG,11d 6h 44m,3894,ANJEONG,11d 6h 44m,3894,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,DAMPIER,2019-01-03 03:53:00,-,,INCHEON,13d 46m,3846,DAMPIER ANCH,4m,0,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,DAMPIER ANCH,2019-01-01 02:19:00,-,,BORYEONG,13d 21h 55m,4598,BORYEONG,13d 21h 55m,4598,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Anchorage,DAMPIER ANCH,2018-12-31 00:07:00,-,,INCHEON,9d 21h ,3818,INCHEON,9d 21h ,3818,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,KAWASAKI,2018-12-30 01:12:00,-,,ASHBURTON,10d 22h 43m,4307,KAWASAKI ANCH,3m,0,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,KAWASAKI ANCH,2018-12-30 01:01:00,-,,ASHBURTON,10d 22h 32m,4307,DAMPIER ANCH,9d 19h 11m,3704,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2018-12-29 04:57:00,-,,INCHEON,9d 2h 55m,3814,INCHEON,9d 2h 55m,3814,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DAMPIER ANCH,2018-12-29 00:34:00,-,,ASHBURTON,23h 41m,249,ASHBURTON,23h 41m,249,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,ASHBURTON,2018-12-27 02:42:00,-,,ASHBURTON,46m,6044,ASHBURTON,46m,6044,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,ASHBURTON,2018-12-27 00:46:00,-,,HIMEJI,10d 19h 42m,3870,HIMEJI,10d 19h 42m,3870,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,ANJEONG,2018-12-22 00:27:00,-,,DAMPIER,9d 21h 49m,4041,DAMPIER,9d 21h 49m,4041,Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,INCHEON,2018-12-20 03:11:00,-,,ASHBURTON,13d 5h 37m,3291,ASHBURTON,13d 5h 37m,3291,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,DAMPIER ANCH,2018-12-20 01:04:00,-,,ASHBURTON,22h 35m,600,ASHBURTON,22h 35m,600,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,INCHEON,2018-12-19 02:16:00,-,,BARROW ISLAND,9d 18h 40m,3794,DAMPIER ANCH,8d 14h 58m,3593,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,ASHBURTON,2018-12-18 01:02:00,-,,PYEONGTAEK,10d 18h 22m,3908,PYEONGTAEK,10d 18h 22m,3908,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,BORYEONG,2018-12-17 01:20:00,-,,BARROW ISLAND,17d 54m,4178,KAOHSIUNG ANCH,3d 1h 5m,1205,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,HIMEJI,2018-12-15 04:33:00,-,,ASHBURTON,14d 20h 13m,4588,KAOHSIUNG ANCH,3d 21h 14m,1369,In Ballast,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,DAMPIER,2018-12-11 00:40:00,-,,ASHBURTON,23d 2h 34m,7689,DAMPIER ANCH,3m,0,In Ballast,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2018-12-10 01:01:00,-,,BARROW ISLAND,17h 25m,197,BARROW ISLAND,17h 25m,197,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2018-12-08 04:15:00,-,,ASHBURTON,7d 19h 55m,3217,ASHBURTON,7d 19h 55m,3217,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,BARROW ISLAND,2018-12-08 03:36:00,-,,OITA,9d 2h 26m,3590,OITA,9d 2h 26m,3590,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2018-12-08 03:35:00,-,,ASHBURTON,20d 5h 29m,7662,ASHBURTON,20d 5h 29m,7662,In Ballast,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,KAOHSIUNG ANCH,2018-12-07 00:40:00,-,,BARROW ISLAND,7d 14m,2971,BARROW ISLAND,7d 14m,2971,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,PYEONGTAEK,2018-12-06 06:59:00,-,,ASHBURTON,12d 4h 14m,4118,ASHBURTON,12d 4h 14m,4118,Laden,Not in Transit,Chevron Shipping
