﻿Vessel Name,Port Call Type,Port Type,Current Port,Ata/atd,Time At Port,Destination Port,Voyage Origin Port,Voyage Time Underway,Voyage Distance Travelled,Leg Start Port/anch,Leg Time Underway,Leg Distance Travelled,Load Condition,In Transit Port Calls,My Fleets
ASIA INTEGRITY,ARRIVAL,Anchorage,DAMPIER ANCH,2018-10-01 01:55:00,-,,BARROW ISLAND,3h 43m,120,BARROW ISLAND,3h 43m,120,Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Anchorage,DAMPIER ANCH,2018-10-01 00:58:00,-,,ASHBURTON,22h 55m,290,ASHBURTON,22h 55m,290,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DAMPIER ANCH,2018-10-01 00:12:00,-,,INCHEON,10d 22h 8m,4126,INCHEON,10d 22h 8m,4126,In Ballast,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,DARWIN,2018-09-29 21:02:00,-,,BARROW ISLAND,3d 10h 30m,1428,BARROW ISLAND,3d 10h 30m,1428,Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,BARROW ISLAND,2018-09-29 17:53:00,-,,KISARAZU,16d 14h 37m,3836,DAMPIER ANCH,7h 54m,77,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,ASHBURTON,2018-09-29 00:55:00,-,,BARROW ISLAND,25d 14h 44m,8475,BARROW ISLAND,25d 14h 44m,8475,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,SAKAI,2018-09-28 04:07:00,-,,DAMPIER ANCH,9d 2h 36m,3732,DAMPIER ANCH,9d 2h 36m,3732,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,BARROW ISLAND,2018-09-25 08:51:00,-,,ZHUHAI,49d 23h 20m,8922,DAMPIER ANCH,7h 39m,60,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,DAMPIER ANCH,2018-09-23 03:37:00,-,,KISARAZU,10d 21m,3754,KISARAZU,10d 21m,3754,Partially Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2018-09-21 06:51:00,-,,BARROW ISLAND,28d 1h 26m,8858,DAMPIER ANCH,23d 21h 50m,8749,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,ASHBURTON,2018-09-20 08:56:00,-,,DALIAN,14d 1h 33m,4261,DAMPIER ANCH,1d 46m,290,Partially Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,INCHEON,2018-09-19 03:31:00,-,,ASHBURTON,11d 17h 26m,3972,ASHBURTON,11d 17h 26m,3972,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,DAMPIER ANCH,2018-09-17 02:10:00,-,,ASHBURTON,15h 9m,210,ASHBURTON,15h 9m,210,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,DAMPIER ANCH,2018-09-17 01:06:00,-,,DALIAN,10d 17h 43m,3966,DALIAN,10d 17h 43m,3966,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,HACHINOHE,2018-09-17 00:13:00,-,,BARROW ISLAND,13d 14h 2m,4180,BARROW ISLAND,13d 14h 2m,4180,Laden,In Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,ASHBURTON,2018-09-15 08:49:00,-,,OITA,9d 4h 33m,3715,OITA,9d 4h 33m,3715,In Ballast,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,KISARAZU,2018-09-12 03:51:00,-,,ASHBURTON,15d 13h 20m,5152,DAMPIER ANCH,11d 1h 54m,4034,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,ASHBURTON,2018-09-06 08:40:00,-,,DALIAN,10d 2h 40m,4020,DALIAN ANCH,9d 23h 2m,4003,In Ballast,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Port,OITA,2018-09-05 03:37:00,-,,BARROW ISLAND,11d 24m,4587,OITA ANCH,4m,0,Laden,Not in Transit,Chevron Shipping
ASIA ENERGY,ARRIVAL,Anchorage,OITA ANCH,2018-09-05 03:22:00,-,,BARROW ISLAND,11d 9m,4587,DAMPIER ANCH,10d 17h 50m,4451,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,DALIAN,2018-09-05 02:16:00,-,,ASHBURTON,12d 14h 45m,4371,DALIAN ANCH,3m,0,Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,DALIAN ANCH,2018-09-04 06:00:00,-,,ASHBURTON,11d 18h 29m,4354,ASHBURTON,11d 18h 29m,4354,Laden,Not in Transit,Chevron Shipping
